DateTime,StationID,StationName,Province,Latitude,Longitude,StationPressure,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
06/15/2025 16:00:00,48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,13.72639,100.56000,1005.04,1005.52,31.5,25.1,69,31.93,10.00,000,0.0,0.00,0.00
06/15/2025 19:00:00,48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,13.72639,100.56000,1005.82,1006.30,30.0,23.6,69,29.19,10.00,300,3.7,0.00,0.00
